customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Value
1,8,11,9084.45,5,5,5,15,High
2,129,3,4149.07,1,1,2,4,Low
3,103,8,9888.23,1,4,5,10,Medium
4,196,2,1047.72,1,1,1,3,Low
5,17,6,5903.2,4,3,3,10,Medium
6,65,5,5931.6900000000005,2,2,3,7,Low
7,254,3,995.38,1,1,1,3,Low
8,23,10,12024.759999999998,4,5,5,14,High
9,79,6,5357.549999999999,2,3,3,8,Medium
10,34,6,7067.83,3,3,4,10,Medium
11,47,6,6779.4400000000005,3,3,4,10,Medium
12,68,7,6394.21,2,4,3,9,Medium
13,28,7,7734.74,4,4,4,12,High
14,48,4,3593.57,3,1,1,5,Low
15,36,6,4923.34,3,3,2,8,Medium
16,100,5,7763.79,2,2,4,8,Medium
17,1,5,4676.1900000000005,5,2,2,9,Medium
18,135,7,8878.62,1,4,5,10,Medium
19,103,3,4238.1900000000005,1,1,2,4,Low
20,32,4,6618.86,4,1,3,8,Medium
21,7,5,7446.21,5,2,4,11,Medium
22,98,7,8076.91,2,4,4,10,Medium
23,11,7,8415.53,5,4,4,13,High
24,18,8,8078.950000000001,4,4,4,12,High
25,6,12,9996.33,5,5,5,15,High
26,114,3,3943.12,1,1,2,4,Low
27,144,7,7679.97,1,4,4,9,Medium
28,84,6,5492.900000000001,2,3,3,8,Medium
29,23,9,10855.57,4,5,5,14,High
30,12,3,3736.5199999999995,5,1,1,7,Low
31,90,4,3110.0,2,1,1,4,Low
32,139,7,7873.18,1,4,4,9,Medium
33,39,6,8808.96,3,3,5,11,Medium
34,103,9,13133.0,1,5,5,11,Medium
35,93,4,4182.28,2,1,2,5,Low
36,164,2,1781.04,1,1,1,3,Low
37,8,9,11291.71,5,5,5,15,High
38,51,4,4502.59,3,1,2,6,Low
39,35,12,11237.19,3,5,5,13,High
40,15,6,6175.2699999999995,5,3,3,11,Medium
41,30,8,8570.1,4,4,4,12,High
42,112,4,1936.46,1,1,1,3,Low
43,62,9,6574.59,2,5,3,10,Medium
44,36,7,7497.4,3,4,4,11,Medium
45,44,3,2912.33,3,1,1,5,Low
46,54,5,4923.139999999999,3,2,2,7,Low
47,36,7,8022.01,3,4,4,11,Medium
48,83,8,9654.119999999999,2,4,5,11,Medium
49,37,5,7582.92,3,2,4,9,Medium
50,27,8,9252.66,4,4,5,13,High
51,56,8,9667.460000000001,3,4,5,12,High
52,5,7,10106.57,5,4,5,14,High
53,8,5,5472.74,5,2,3,10,Medium
54,68,7,9813.66,2,4,5,11,Medium
55,47,8,6754.21,3,4,4,11,Medium
56,3,7,5060.86,5,4,2,11,Medium
57,36,6,8748.75,3,3,5,11,Medium
58,21,8,6967.3099999999995,4,4,4,12,High
59,23,3,2797.47,4,1,1,6,Low
60,201,2,1526.9,1,1,1,3,Low
61,48,7,8397.28,3,4,4,11,Medium
62,6,6,5845.950000000001,5,3,3,11,Medium
